,cos_scores,sorted_snippets
49,"tensor([0.1888, 0.0949, 0.1507, 0.7831, 0.6305, 0.3581, 0.2087, 0.2528])","tensor([3, 4, 5, 7, 6, 0, 2, 1])"
50,"tensor([0.5733, 0.2246, 0.7255, 0.4731, 0.5168])","tensor([2, 0, 4, 3, 1])"
51,"tensor([0.2583, 0.1531, 0.1704, 0.6546, 0.2085, 0.2789, 0.1144, 0.3054])","tensor([3, 7, 5, 0, 4, 2, 1, 6])"
52,"tensor([0.4597, 0.1968, 0.5805, 0.7762, 0.6471])","tensor([3, 4, 2, 0, 1])"
53,"tensor([0.1258, 0.5841, 0.3897, 0.2074, 0.2937])","tensor([1, 2, 4, 3, 0])"
54,"tensor([0.1463, 0.7491, 0.2639, 0.3371, 0.2292])","tensor([1, 3, 2, 4, 0])"
55,"tensor([0.2341, 0.3060, 0.5557, 0.6454, 0.1924, 0.1747, 0.1850, 0.2128, 0.3742])","tensor([3, 2, 8, 1, 0, 7, 4, 6, 5])"
56,"tensor([0.0809, 0.1737, 0.2236, 0.6332, 0.5439, 0.2507, 0.1403, 0.1788])","tensor([3, 4, 5, 2, 7, 1, 6, 0])"
57,"tensor([0.2586, 0.2506, 0.2876, 0.1877, 0.3926, 0.1349, 0.3874])","tensor([4, 6, 2, 0, 1, 3, 5])"
58,"tensor([0.1473, 0.1157, 0.1068, 0.3549, 0.5771, 0.5806, 0.2795, 0.2646, 0.5747])","tensor([5, 4, 8, 3, 6, 7, 0, 1, 2])"
59,"tensor([0.3292, 0.8726, 0.5764, 0.1673, 0.1652, 0.2213])","tensor([1, 2, 0, 5, 3, 4])"
60,"tensor([0.2667, 0.2325, 0.3498, 0.5432, 0.7631, 0.6286, 0.2237, 0.3408])","tensor([4, 5, 3, 2, 7, 0, 1, 6])"
61,"tensor([0.7540, 0.6782, 0.2331, 0.2109, 0.0986, 0.1117])","tensor([0, 1, 2, 3, 5, 4])"
62,"tensor([ 0.0438,  0.1888, -0.0289, -0.0068,  0.4448,  0.2923,  0.8235])","tensor([6, 4, 5, 1, 0, 3, 2])"
63,"tensor([0.4368, 0.2385, 0.0545, 0.1065, 0.0739])","tensor([0, 1, 3, 4, 2])"
64,"tensor([0.1314, 0.1002, 0.3518, 0.3187, 0.2962, 0.8538, 0.2357, 0.0332])","tensor([5, 2, 3, 4, 6, 0, 1, 7])"
65,"tensor([0.1193, 0.1593, 0.2557, 0.0912, 0.2292, 0.2591, 0.2304, 0.0930, 0.8176])","tensor([8, 5, 2, 6, 4, 1, 0, 7, 3])"
66,"tensor([0.3181, 0.7771, 0.3124, 0.4631, 0.0582])","tensor([1, 3, 0, 2, 4])"
67,"tensor([8.2398e-02, 7.8069e-02, 9.5324e-02, 2.0914e-01, 2.2250e-01, 7.0151e-02,
        4.0444e-04, 1.1697e-01, 6.5038e-01])","tensor([8, 4, 3, 7, 2, 0, 1, 5, 6])"
68,"tensor([0.1746, 0.1576, 0.0599, 0.1698, 0.2863, 0.2983, 0.0568, 0.6075])","tensor([7, 5, 4, 0, 3, 1, 2, 6])"
69,"tensor([0.2638, 0.3887, 0.2841, 0.2073, 0.2306, 0.3809])","tensor([1, 5, 2, 0, 4, 3])"
70,"tensor([0.2177, 0.1713, 0.1647, 0.6839, 0.1399])","tensor([3, 0, 1, 2, 4])"
71,"tensor([0.0822, 0.5473, 0.0355, 0.8242, 0.2964])","tensor([3, 1, 4, 0, 2])"
72,"tensor([0.1016, 0.1460, 0.6347, 0.2797, 0.2811, 0.0863, 0.0840, 0.1110])","tensor([2, 4, 3, 1, 7, 0, 5, 6])"
73,"tensor([0.1878, 0.6216, 0.1001, 0.2013, 0.1940])","tensor([1, 3, 4, 0, 2])"
74,"tensor([0.2243, 0.2195, 0.1442, 0.2767, 0.0260, 0.2653, 0.2120, 0.5898])","tensor([7, 3, 5, 0, 1, 6, 2, 4])"
75,"tensor([0.1206, 0.7621, 0.3633, 0.4846, 0.3049])","tensor([1, 3, 2, 4, 0])"
76,"tensor([0.1988, 0.4517, 0.4765, 0.7919, 0.4632, 0.3610, 0.1159, 0.0962])","tensor([3, 2, 4, 1, 5, 0, 6, 7])"
77,"tensor([0.8570, 0.6526, 0.7260, 0.2643, 0.0615, 0.2050])","tensor([0, 2, 1, 3, 5, 4])"
78,"tensor([0.2686, 0.1924, 0.2636, 0.1091, 0.1407, 0.0140, 0.1545, 0.8639, 0.3982])","tensor([7, 8, 0, 2, 1, 6, 4, 3, 5])"
79,"tensor([0.8621, 0.7842, 0.2470, 0.4419, 0.2094, 0.1894, 0.1661, 0.1509])","tensor([0, 1, 3, 2, 4, 5, 6, 7])"
80,"tensor([0.4046, 0.0817, 0.1263, 0.1287, 0.0355])","tensor([0, 3, 2, 1, 4])"
81,"tensor([0.1790, 0.2447, 0.3749, 0.2792, 0.3087, 0.4718])","tensor([5, 2, 4, 3, 1, 0])"
82,"tensor([0.1301, 0.4266, 0.5491, 0.0778, 0.2587, 0.3775, 0.2046])","tensor([2, 1, 5, 4, 6, 0, 3])"
83,"tensor([0.4083, 0.2353, 0.7436, 0.3547, 0.2638, 0.2812, 0.2973])","tensor([2, 0, 3, 6, 5, 4, 1])"
84,"tensor([0.8154, 0.5191, 0.4991, 0.2053, 0.2561, 0.3552])","tensor([0, 1, 2, 5, 4, 3])"
85,"tensor([0.0378, 0.1212, 0.2129, 0.1929, 0.1449, 0.2078, 0.1861])","tensor([2, 5, 3, 6, 4, 1, 0])"
86,"tensor([0.0610, 0.0211, 0.1003, 0.1411, 0.0541, 0.5811, 0.9031, 0.1061])","tensor([6, 5, 3, 7, 2, 0, 4, 1])"
87,"tensor([-0.0140,  0.1226,  0.4054,  0.0640,  0.2386])","tensor([2, 4, 1, 3, 0])"
88,"tensor([0.0811, 0.0754, 0.5850, 0.6884, 0.6178, 0.8406, 0.1644, 0.0799, 0.5455])","tensor([5, 3, 4, 2, 8, 6, 0, 7, 1])"
89,"tensor([0.2550, 0.2811, 0.1675, 0.1783, 0.1304, 0.2395, 0.1778])","tensor([1, 0, 5, 3, 6, 2, 4])"
90,"tensor([0.0895, 0.4590, 0.6814, 0.0425, 0.0572, 0.3895])","tensor([2, 1, 5, 0, 4, 3])"
91,"tensor([0.1363, 0.2639, 0.1262, 0.8147, 0.6592, 0.1805])","tensor([3, 4, 1, 5, 0, 2])"
92,"tensor([0.2308, 0.2270, 0.2239, 0.2696, 0.2767, 0.1833, 0.2238])","tensor([4, 3, 0, 1, 2, 6, 5])"
93,"tensor([0.4647, 0.6781, 0.0585, 0.1776, 0.1705, 0.1597, 0.1422, 0.1217])","tensor([1, 0, 3, 4, 5, 6, 7, 2])"
94,"tensor([0.1601, 0.0563, 0.3949, 0.2583, 0.0775])","tensor([2, 3, 0, 4, 1])"
95,"tensor([0.1124, 0.0336, 0.3012, 0.2917, 0.7335, 0.5232])","tensor([4, 5, 2, 3, 0, 1])"
96,"tensor([0.1466, 0.0405, 0.2437, 0.1897, 0.0688, 0.7248])","tensor([5, 2, 3, 0, 4, 1])"
97,"tensor([0.1518, 0.0651, 0.6137, 0.4513, 0.4251])","tensor([2, 3, 4, 0, 1])"
98,"tensor([0.0787, 0.1647, 0.2648, 0.1489, 0.2388, 0.2987, 0.2303, 0.7523])","tensor([7, 5, 2, 4, 6, 1, 3, 0])"
99,"tensor([0.1377, 0.4137, 0.3213, 0.6117, 0.1600, 0.1220])","tensor([3, 1, 2, 4, 0, 5])"
100,"tensor([ 0.1474, -0.0014,  0.0485,  0.0730,  0.3080,  0.1337])","tensor([4, 0, 5, 3, 2, 1])"
101,"tensor([0.4522, 0.3564, 0.3921, 0.3304, 0.3983])","tensor([0, 4, 2, 1, 3])"
102,"tensor([0.6378, 0.3015, 0.2499, 0.3029, 0.2777, 0.2342, 0.0103, 0.2658, 0.0805])","tensor([0, 3, 1, 4, 7, 2, 5, 8, 6])"
103,"tensor([0.2941, 0.2510, 0.2140, 0.8092, 0.2076, 0.2515])","tensor([3, 0, 5, 1, 2, 4])"
104,"tensor([0.1311, 0.1534, 0.2991, 0.2581, 0.6632, 0.1863, 0.2110, 0.1953, 0.2445])","tensor([4, 2, 3, 8, 6, 7, 5, 1, 0])"
105,"tensor([0.3617, 0.6085, 0.4895, 0.4407, 0.3394])","tensor([1, 2, 3, 0, 4])"
106,"tensor([0.2975, 0.5109, 0.2807, 0.3392, 0.6065, 0.6336, 0.4619, 0.3563])","tensor([5, 4, 1, 6, 7, 3, 0, 2])"
107,"tensor([0.5055, 0.7223, 0.1701, 0.3788, 0.0284])","tensor([1, 0, 3, 2, 4])"
108,"tensor([0.5521, 0.7222, 0.3456, 0.2836, 0.2268, 0.3279])","tensor([1, 0, 2, 5, 3, 4])"
109,"tensor([0.4131, 0.3813, 0.1307, 0.4979, 0.0778, 0.0421])","tensor([3, 0, 1, 2, 4, 5])"
110,"tensor([0.4471, 0.2283, 0.2794, 0.2279, 0.6027, 0.0923])","tensor([4, 0, 2, 1, 3, 5])"
111,"tensor([0.1101, 0.1059, 0.2990, 0.1552, 0.1495])","tensor([2, 3, 4, 0, 1])"
112,"tensor([0.3356, 0.2997, 0.8777, 0.2027, 0.1254, 0.2516])","tensor([2, 0, 1, 5, 3, 4])"
113,"tensor([0.4606, 0.4113, 0.6322, 0.4150, 0.7355, 0.6626, 0.2819, 0.3041, 0.4708])","tensor([4, 5, 2, 8, 0, 3, 1, 7, 6])"
114,"tensor([0.4867, 0.2409, 0.2510, 0.1559, 0.2335, 0.1896])","tensor([0, 2, 1, 4, 5, 3])"
115,"tensor([0.3928, 0.0936, 0.7689, 0.2597, 0.2544, 0.2837, 0.2002, 0.1439])","tensor([2, 0, 5, 3, 4, 6, 7, 1])"
116,"tensor([ 0.0271,  0.0588,  0.2255, -0.0105,  0.3001,  0.2609,  0.1976, -0.0238,
         0.1632])","tensor([4, 5, 2, 6, 8, 1, 0, 3, 7])"
117,"tensor([0.1253, 0.1444, 0.2499, 0.2383, 0.3275, 0.7086])","tensor([5, 4, 2, 3, 1, 0])"
118,"tensor([0.7689, 0.5909, 0.6211, 0.6221, 0.6436, 0.4373, 0.2962])","tensor([0, 4, 3, 2, 1, 5, 6])"
119,"tensor([0.1627, 0.2372, 0.2508, 0.6620, 0.5596, 0.6335, 0.4146, 0.5122])","tensor([3, 5, 4, 7, 6, 2, 1, 0])"
120,"tensor([0.6461, 0.2213, 0.2023, 0.3063, 0.4775, 0.1734, 0.2123, 0.2944, 0.2839])","tensor([0, 4, 3, 7, 8, 1, 6, 2, 5])"
121,"tensor([0.5877, 0.5889, 0.6451, 0.8872, 0.1712])","tensor([3, 2, 1, 0, 4])"
122,"tensor([0.0410, 0.7541, 0.0643, 0.0708, 0.1158, 0.1451, 0.1395, 0.1223, 0.1907])","tensor([1, 8, 5, 6, 7, 4, 3, 2, 0])"
123,"tensor([0.3324, 0.4483, 0.1195, 0.3376, 0.2269, 0.2187])","tensor([1, 3, 0, 4, 5, 2])"
124,"tensor([0.1801, 0.0626, 0.0617, 0.1540, 0.1260, 0.3228])","tensor([5, 0, 3, 4, 1, 2])"
125,"tensor([0.1592, 0.1826, 0.6046, 0.4842, 0.0537, 0.1340, 0.0879, 0.2106, 0.2111])","tensor([2, 3, 8, 7, 1, 0, 5, 6, 4])"
126,"tensor([0.1171, 0.2920, 0.1159, 0.5959, 0.2936, 0.6653, 0.7002])","tensor([6, 5, 3, 4, 1, 0, 2])"
127,"tensor([0.3427, 0.0929, 0.4189, 0.2156, 0.2059, 0.2146, 0.1159, 0.1868])","tensor([2, 0, 3, 5, 4, 7, 6, 1])"
128,"tensor([ 0.4787,  0.5413,  0.2667, -0.0221,  0.1940,  0.2742])","tensor([1, 0, 5, 2, 4, 3])"
129,"tensor([0.2163, 0.3810, 0.6999, 0.1956, 0.3283])","tensor([2, 1, 4, 0, 3])"
130,"tensor([0.2653, 0.6684, 0.2400, 0.1724, 0.2104, 0.3042, 0.2723, 0.1063])","tensor([1, 5, 6, 0, 2, 4, 3, 7])"
131,"tensor([0.1521, 0.9056, 0.7515, 0.2619, 0.2618, 0.2690])","tensor([1, 2, 5, 3, 4, 0])"
132,"tensor([0.3288, 0.5997, 0.4557, 0.4637, 0.2789, 0.2372, 0.2258, 0.2737, 0.3276])","tensor([1, 3, 2, 0, 8, 4, 7, 5, 6])"
133,"tensor([-0.0600,  0.0217,  0.1481,  0.3801,  0.6649,  0.1761,  0.1908,  0.0576,
         0.0259])","tensor([4, 3, 6, 5, 2, 7, 8, 1, 0])"
134,"tensor([0.1614, 0.0192, 0.7780, 0.5516, 0.1434, 0.2204])","tensor([2, 3, 5, 0, 4, 1])"
135,"tensor([0.4217, 0.3937, 0.4426, 0.2113, 0.8022, 0.7706])","tensor([4, 5, 2, 0, 1, 3])"
136,"tensor([0.7323, 0.6152, 0.2157, 0.4285, 0.2241])","tensor([0, 1, 3, 4, 2])"
137,"tensor([0.2617, 0.1808, 0.1808, 0.1961, 0.1661, 0.1870, 0.1808])","tensor([0, 3, 5, 1, 2, 6, 4])"
138,"tensor([0.2581, 0.1555, 0.1854, 0.2333, 0.1612, 0.0657, 0.2422, 0.2735, 0.1513])","tensor([7, 0, 6, 3, 2, 4, 1, 8, 5])"
139,"tensor([0.0258, 0.0554, 0.1333, 0.1324, 0.5926])","tensor([4, 2, 3, 1, 0])"
140,"tensor([0.3769, 0.1840, 0.2033, 0.1547, 0.2588, 0.1893, 0.2090])","tensor([0, 4, 6, 2, 5, 1, 3])"
141,"tensor([0.1497, 0.1587, 0.5160, 0.3670, 0.2238])","tensor([2, 3, 4, 1, 0])"
142,"tensor([0.7511, 0.4137, 0.2817, 0.2750, 0.1467, 0.1577, 0.2525, 0.0558, 0.2571])","tensor([0, 1, 2, 3, 8, 6, 5, 4, 7])"
143,"tensor([0.1274, 0.1917, 0.2786, 0.1840, 0.5589])","tensor([4, 2, 1, 3, 0])"
144,"tensor([0.3054, 0.3689, 0.3302, 0.7692, 0.4947, 0.3325, 0.2330, 0.1733, 0.4009])","tensor([3, 4, 8, 1, 5, 2, 0, 6, 7])"
145,"tensor([0.1076, 0.1580, 0.1361, 0.6386, 0.2529, 0.1354])","tensor([3, 4, 1, 2, 5, 0])"
146,"tensor([0.2443, 0.2632, 0.1257, 0.2736, 0.1827, 0.2457, 0.2103])","tensor([3, 1, 5, 0, 6, 4, 2])"
147,"tensor([0.5771, 0.1473, 0.2245, 0.1157, 0.1068, 0.1080])","tensor([0, 2, 1, 3, 5, 4])"
148,"tensor([0.4018, 0.7572, 0.7347, 0.1412, 0.2959, 0.4114])","tensor([1, 2, 5, 0, 4, 3])"
149,"tensor([0.3350, 0.0814, 0.6963, 0.2940, 0.2500, 0.4807])","tensor([2, 5, 0, 3, 4, 1])"
150,"tensor([0.2910, 0.4261, 0.4255, 0.4079, 0.5391])","tensor([4, 1, 2, 3, 0])"
151,"tensor([0.1008, 0.2420, 0.0721, 0.0932, 0.0940, 0.1527, 0.5730, 0.1277, 0.1707])","tensor([6, 1, 8, 5, 7, 0, 4, 3, 2])"
152,"tensor([0.0557, 0.0739, 0.1095, 0.0879, 0.0725, 0.0993, 0.4203, 0.0569])","tensor([6, 2, 5, 3, 1, 4, 7, 0])"
153,"tensor([0.2990, 0.0718, 0.1536, 0.0417, 0.6620, 0.5367])","tensor([4, 5, 0, 2, 1, 3])"
154,"tensor([0.5298, 0.0227, 0.3325, 0.1230, 0.2209])","tensor([0, 2, 4, 3, 1])"
155,"tensor([0.2578, 0.6676, 0.4638, 0.3494, 0.3904, 0.3855, 0.2953, 0.2355, 0.1780])","tensor([1, 2, 4, 5, 3, 6, 0, 7, 8])"
156,"tensor([0.1152, 0.1483, 0.2389, 0.6841, 0.2818, 0.1469, 0.1187])","tensor([3, 4, 2, 1, 5, 6, 0])"
157,"tensor([0.1715, 0.4181, 0.4458, 0.3637, 0.1833, 0.0096, 0.1459, 0.2380, 0.3190])","tensor([2, 1, 3, 8, 7, 4, 0, 6, 5])"
158,"tensor([0.6509, 0.5336, 0.0690, 0.3292, 0.2371])","tensor([0, 1, 3, 4, 2])"
159,"tensor([0.0806, 0.0362, 0.1201, 0.2432, 0.0935, 0.4893])","tensor([5, 3, 2, 4, 0, 1])"
160,"tensor([0.4322, 0.2082, 0.4154, 0.0965, 0.3384])","tensor([0, 2, 4, 1, 3])"
161,"tensor([ 3.9086e-01,  3.4376e-02, -2.9858e-04,  1.3449e-02,  1.1397e-01,
         1.9512e-01])","tensor([0, 5, 4, 1, 3, 2])"
162,"tensor([0.2021, 0.7948, 0.2378, 0.1287, 0.1220])","tensor([1, 2, 0, 3, 4])"
163,"tensor([0.2667, 0.5236, 0.1970, 0.6673, 0.1478])","tensor([3, 1, 0, 2, 4])"
164,"tensor([0.1202, 0.3271, 0.1140, 0.6477, 0.1854])","tensor([3, 1, 4, 0, 2])"
165,"tensor([0.2660, 0.3983, 0.6735, 0.5390, 0.2853])","tensor([2, 3, 1, 4, 0])"
166,"tensor([0.1353, 0.1275, 0.0836, 0.6504, 0.1064, 0.1714])","tensor([3, 5, 0, 1, 4, 2])"
167,"tensor([-0.1254,  0.5264,  0.0099, -0.0606,  0.1938,  0.0363])","tensor([1, 4, 5, 2, 3, 0])"
168,"tensor([0.0826, 0.1338, 0.2231, 0.0306, 0.2473, 0.0309, 0.0393])","tensor([4, 2, 1, 0, 6, 5, 3])"
169,"tensor([0.0964, 0.0955, 0.0599, 0.1027, 0.7484, 0.0430, 0.0444])","tensor([4, 3, 0, 1, 2, 6, 5])"
170,"tensor([0.2577, 0.0987, 0.5881, 0.6032, 0.8372, 0.9372, 0.1181])","tensor([5, 4, 3, 2, 0, 6, 1])"
171,"tensor([0.2997, 0.3022, 0.1364, 0.2085, 0.3674, 0.0408])","tensor([4, 1, 0, 3, 2, 5])"
172,"tensor([0.1659, 0.1719, 0.1724, 0.1817, 0.1688])","tensor([3, 2, 1, 4, 0])"
173,"tensor([0.3430, 0.2667, 0.3449, 0.3514, 0.9140, 0.1381, 0.4750, 0.4810])","tensor([4, 7, 6, 3, 2, 0, 1, 5])"
174,"tensor([0.3740, 0.2996, 0.4377, 0.4210, 0.5141, 0.7597, 0.3746])","tensor([5, 4, 2, 3, 6, 0, 1])"
175,"tensor([0.2872, 0.2010, 0.2295, 0.6782, 0.3144])","tensor([3, 4, 0, 2, 1])"
176,"tensor([0.7663, 0.0802, 0.1646, 0.2452, 0.2076, 0.0599, 0.1169, 0.0997, 0.1438])","tensor([0, 3, 4, 2, 8, 6, 7, 1, 5])"
177,"tensor([0.3563, 0.3655, 0.3189, 0.6475, 0.1710, 0.2191])","tensor([3, 1, 0, 2, 5, 4])"
178,"tensor([0.5218, 0.0719, 0.2316, 0.7729, 0.9198])","tensor([4, 3, 0, 2, 1])"
179,"tensor([0.1666, 0.6416, 0.0766, 0.0888, 0.0647, 0.1666])","tensor([1, 0, 5, 3, 2, 4])"
180,"tensor([0.3124, 0.3542, 0.2914, 0.0943, 0.2821, 0.1213, 0.1218])","tensor([1, 0, 2, 4, 6, 5, 3])"
181,"tensor([0.7985, 0.3687, 0.1296, 0.1035, 0.1291, 0.0733, 0.1060, 0.1978, 0.1890])","tensor([0, 1, 7, 8, 2, 4, 6, 3, 5])"
182,"tensor([0.1348, 0.0917, 0.3754, 0.1775, 0.1114, 0.5180, 0.1723, 0.6311])","tensor([7, 5, 2, 3, 6, 0, 4, 1])"
183,"tensor([0.2593, 0.2297, 0.2271, 0.1896, 0.2108, 0.6093, 0.1793])","tensor([5, 0, 1, 2, 4, 3, 6])"
184,"tensor([0.1863, 0.1172, 0.1774, 0.0925, 0.5363, 0.4628, 0.1840])","tensor([4, 5, 0, 6, 2, 1, 3])"
185,"tensor([0.4900, 0.7236, 0.3498, 0.3627, 0.2188])","tensor([1, 0, 3, 2, 4])"
186,"tensor([0.2443, 0.1321, 0.8086, 0.2206, 0.2345, 0.2937])","tensor([2, 5, 0, 4, 3, 1])"
187,"tensor([0.2994, 0.3957, 0.4789, 0.7226, 0.2663, 0.3491, 0.2851, 0.1098, 0.0918])","tensor([3, 2, 1, 5, 0, 6, 4, 7, 8])"
188,"tensor([ 0.4749,  0.1755,  0.1085,  0.1204,  0.2063,  0.0324,  0.0591, -0.0463])","tensor([0, 4, 1, 3, 2, 6, 5, 7])"
189,"tensor([0.1611, 0.1611, 0.0815, 0.2821, 0.6137])","tensor([4, 3, 0, 1, 2])"
190,"tensor([0.3248, 0.4498, 0.2495, 0.2704, 0.7437, 0.1608])","tensor([4, 1, 0, 3, 2, 5])"
191,"tensor([0.3265, 0.3885, 0.3789, 0.6501, 0.8060, 0.4709, 0.5903])","tensor([4, 3, 6, 5, 1, 2, 0])"
192,"tensor([0.2509, 0.2720, 0.1134, 0.0827, 0.1412, 0.4339])","tensor([5, 1, 0, 4, 2, 3])"
193,"tensor([0.2951, 0.5940, 0.2348, 0.1626, 0.2553, 0.1517])","tensor([1, 0, 4, 2, 3, 5])"
